Source,Target,Weight,Type
300002,300005,0.3438735,Undirected
300002,300011,0.256917,Undirected
300002,300018,0.284585,Undirected
300002,300019,0.3162055,Undirected
300002,300021,0.7509881,Undirected
300002,300023,0.743083,Undirected
300002,300025,0.6324111,Undirected
300002,300027,0.7391304,Undirected
300002,300030,0.7312253,Undirected
300002,300038,0.2924901,Undirected
300002,300041,0.7470356,Undirected
300002,300043,0.2964427,Undirected
300002,300047,0.7272727,Undirected
300002,300048,0.7233202,Undirected
300002,300051,0.3043478,Undirected
300002,300052,0.6956522,Undirected
300002,300055,0.6363636,Undirected
300002,300058,0.3043478,Undirected
300002,300060,0.01185771,Undirected
300002,300063,0.3478261,Undirected
300002,300064,0.03162055,Undirected
300002,300065,0.2806324,Undirected
300002,300066,0.2924901,Undirected
300002,300071,0.7272727,Undirected
300002,300072,0.7509881,Undirected
300002,300073,0.2885376,Undirected
300002,300075,0.5849802,Undirected
300002,300076,0.2727273,Undirected
300002,300078,0.3043478,Undirected
300002,300080,0.4426877,Undirected
300002,300081,0.2727273,Undirected
300002,300082,0.3320158,Undirected
300002,300083,0.743083,Undirected
300002,300084,0.2885376,Undirected
300002,300087,0.284585,Undirected
300002,300088,0.7312253,Undirected
300002,300089,0.7193676,Undirected
300002,300093,0.2924901,Undirected
300002,300100,0.2766798,Undirected
300002,400013,0.2885376,Undirected
300002,400034,0.7865613,Undirected
300002,400040,0.8063241,Undirected
300002,400050,0.2806324,Undirected
300002,400054,0.7628459,Undirected
300002,400064,0.2885376,Undirected
300002,400134,0.7272727,Undirected
300002,400194,0.7826087,Undirected
300002,400222,0.5928854,Undirected
300002,400253,0.08695652,Undirected
300002,400272,0.284585,Undirected
300002,400284,0.7351779,Undirected
300002,400325,0.7588933,Undirected
300002,400357,0.2608696,Undirected
300002,400408,0.7035573,Undirected
300002,400412,0.3162055,Undirected
300002,400413,0.2924901,Undirected
300002,400418,0.6837944,Undirected
300002,400432,0.770751,Undirected
300002,400546,0.7786561,Undirected
300002,400576,0.6758893,Undirected
300002,402675,0.7628459,Undirected
300002,412194,0.2806324,Undirected
300002,412200,0.2806324,Undirected
300002,412205,0.4071146,Undirected
300002,412218,0.7233202,Undirected
300002,412223,0.284585,Undirected
300002,412242,0.3162055,Undirected
300002,412243,0.3596838,Undirected
300002,412244,0.3043478,Undirected
300002,412246,0.3201581,Undirected
300002,412247,0.2766798,Undirected
300002,412248,0.8537549,Undirected
300002,412251,0.7509881,Undirected
300002,412281,0.312253,Undirected
300002,412320,0.7944664,Undirected
300002,412321,0.3438735,Undirected
300002,412322,0.6916996,Undirected
300002,412323,0.2964427,Undirected
300002,412324,0.4071146,Undirected
300002,412325,0.2648221,Undirected
300002,412326,0.3359684,Undirected
300002,412330,0.3280632,Undirected
300002,412378,0.2964427,Undirected
300002,412390,0.3162055,Undirected
300002,412391,0.4624506,Undirected
300002,412471,0.7233202,Undirected
300002,412490,0.2885376,Undirected
300002,412491,0.6837944,Undirected
300002,412492,0.6403162,Undirected
300002,412493,0.7588933,Undirected
300002,412494,0.8418972,Undirected
300002,412495,0.6403162,Undirected
300002,412496,0.6956522,Undirected
300002,412507,0.284585,Undirected
300002,412542,0.2885376,Undirected
300002,412545,0.3359684,Undirected
300002,412554,0.3517787,Undirected
300002,412556,0.7865613,Undirected
300002,412573,0.6205534,Undirected
300002,412582,0.3280632,Undirected
